RefID, ClusterID
B902524, B902524, BLANCA N MCCURRY 8256 E MARBLEHEAD WAY ANAHEIM CA 92808 714 731 8400
B902553, B902553, MICHLELE A FABIAN 1707 LA BEA ST APT 2AB RAMONA CALI 92065 760 788 7240
B902569, B902569, JO FLVORES 6833 NOBLETON DR WINDERMERE FLORIDA 34786 407 352 3377
B902628, B902628, LOREAL P PEDRAJA 881605 APARTADO LOS ANGFELES CA 90009 818 114 1585
B902647, B902647, CHRISTIAN EVANS 421136 BOX KISSIMMEE FL 3474O2 407 888 8474
B902671, B902671, RICHARD BCHECH 1233 BARMERE LN BRANDON FL 33511 813 521 6344
B902673, B902673, P M CREWS 13616 KVORNBLUM AVN APT 14 HAWTHORNE CALIC 90250 424 510 2826
B902713, B902713, MARCELUS V STEVENS 109 MORGAN DR LAKE CITY TX 78368 956 760 5504
B902738, B902738, MORGAN S WILSON 1468 E CAROLYN LANE CIR REEEDLEY CA 93654 559 882 3814
B902743, B902743, DOMINIC J HOUCK 4601 CALLER PANORAMA CITY CA 91412 818 127 3281
B902808, B902808, JUAN P PELAYO 15009 ALEXANDER RD SCOTT AR 72142 501 328 2083
B902867, B902867, CRAIG B ROLLE 7578 VIA LURIA LAKE WORTH FL 33467 561 867 8433
B902944, B902944, CASEY A GACKENBACH 2759 ASCOT DR CARDIFF BY THE SEA CA 92009 760 214 3372
B902965, B902965, A MQACTAL 368 HENRY ST ALVIN TX 77511 281 383 3485
B902968, B902968, LAWRENCE W MAATSCI 20 VIA ALIVIO RANCHO SANTA MARGARITA CALIFORNIA 92688 949 524 2146
B902977, B902977, DEVAN L FORD 15040 SOBEY RMOAD SARATOGA CA 95070 408 344 1520
B903015, B903015, C L GRIESER 2593 S FORDHAM AVENUE WFRESNO CA 93727 559 177 4710
B903150, B903150, ANDREA G DOMINGUEZ 9999 COLLINS AVE APARTMENT 3J BAL HARBOUR FL 33154 305 814 5550
B903152, B903152, SAUL A SHELTON 3201 EAST 68TH STR LONG BEACH CA 90805 562 462 4450
B903249, B903249, OLAJIDE GOLDSTON 6329 MORELLA AVE NORTH HOLLYWOOD CA 9166 818 167 3612
B903287, B903287, THOMAS VANDYKE 830 SOUTH AZUSA AVNUE TRRLR 10 AZUSA CA 91702 626 164 8208
B903303, B903303, JOSEPH C WHITE 342 BENEDICTINE TER SEBASTIAN FL 32958 772 612 5885
B903366, B903366, ROBERTO L VALANDINGHAM 230 APARTADO LEESBURG FL 34748 352 780 1208
B903530, B903530, JOSEPH T MACIAS 4017 FONANA PL VALRICO FL 33596B 813 514 8714
B903548, B903548, MIGNONNE TEJADA 1208 SLAUSON LANEY REDONDO BEACH ALI 90278 424 101 3380
B903568, B903568, BONG S ESCARNE 12619 PARKWOOD ST HUDSON FL 34669 727 432 5263
B903572, B903572, CRAIG J KELLER 1705 N ARTHUR AVE FRESNO CALI 93705 559 844 3618
B903591, B903591, SONIA A CONTRERAS 3520 OSPREY OVE DR RIVERVIEW FL 33578 813 107 7531
B903600, B903600, VIRGIL SOGOL 7214 CREENKWOOD CT TAMPA FLORIDA 33615 813 282 4505
B903632, B903632, FELICIA CRNELISSEN 1209 AUGUST WAY ANTIOCH CALI 4509 925 608 3312
B903648, B903648, CLAUDIA M TAYLOR 255 WALKERH STR CENTER TEXAS 75935 936 528 8550
B903649, B903649, SHARRON A LAUDERALE 4011 N 9TH AVE PENSACOLA FL 32503 850 788 5747
B903674, B903674, RODNEY R ADAMS 6 KINGS CIR BROOKSVILE FLA 34601 352 186 8624
B903706, B903706, JAMIE VALENCIA 2003 SHPWAY AVE LONG BEACZH CALI 90815 562 147 2668
B903730, B903730, ANA RUBIO 318 NORWEGIAN AVENU MODESTO CA 95350 209 764 2638
B903745, B903745, JUSTIN R SMITH 494163 CALLER PORT CHARLOTTE FLA 33949 941 800 2107
B903767, B903767, WILLIAM VILLARREAL 1171 FRUITWOOD CT TRACY CALI 95376 209 387 5021
B903813, B903813, GRISEL J GAPOL 511 ZN 1ST ST JARRELL TEXAS 7653Y7 512 210 5307
B903825, B903825, LODUCA 6102 RIDGE GLADE ST SAN ANTONIO TEXAYS 78250 210 266 8041
B903827, B903827, J T MACIAS 10851 SW 2ND ST APT K101 MIAMI FL 33174 305 201 3610
B903836, B903836, ESTHER J MELANCNO 822 SEYOUR WAY PERRIS CA 92571 909 405 3827
B903870, B903870, JOFFER M JIMENEZ 18257 SUGARMAN STRT TARZANA CA 91356 818 465 4313
B903881, B903881, ELIZABETH M M 3910 W BEECHWOOD AVE APARTMENT 133 FRESNO CA E93711 559 451 2035
B903899, B903899, J L VILLALVAZO 14242 ALLAMANDA DR CORPUS CHRISTI TX 78418 361 267 5724
B903931, B903931, DREW ORTIZ 3045 APARTADO ARCADIA TFLORIDA 34265 863 100 5062
B903935, B903935, TIM L COOLEY 670 CALL BOX FREMONT CA 9453 530 228 1514
B903987, B903987, PATRIICA J THAYER 5656 W 3RD ST LOS ANGELES CA 90056 818 176 2371
B904022, B904022, GEORGE M EMERT 881605 CALLER LOS ANGELES CALIFORNIA 90J009 818 451 3612
B904028, B904028, MATHEW G HABTE 5800 OWENSMOUTH AVE APARTMENT 18 WOODLAND HILLS CA 91367 818 217 3360
B904039, B904039, A P POSWER 504 CANAL WAY NOKOMIS FLORIDA 34275 941 210 0655
B904057, B904057, LESLIE UNN 119 SOUT BOUL APT 23F SAN MATEO CA 94402 650 163 2231
B904085, B904085, LAURA M MITCEHLL 304 HAPPY HOLLOW RD FREEPORT FLA 32439 850 405 0123
B904259, B904259, SEAN PELAOY 600 INDEPENDENCE PKWY UNIT 1308 PLANO TEXADS 75075 972 538 2255
B904273, B904273, BRADY T MARES 10305 WOODWARD AVEN SUNLAND CA 91040 818 383 3010
B904304, B904304, JOSHUA L VILLALVAZO 4409 44TH AVE N SAINT PETERSBURG FL 33714 727 753 6183
B904314, B904314, AURORA D BOWMAN 310 BRALY ST LINCOLN AR 72744 479 251 3772
B904370, B904370, YOLANDA E HUFF 2204 SKILES DSR PLANO TEXAS 75W075 972 204 6033
B904519, B904519, JOHNNIE M DANIEL 1469 POST OFFICE LA JOLLA CA 92038 858 212 4501
B904552, B904552, LADASHIA M WHITE 1500 E WILSON AVE PT 201 GLENDALE CALI 91206 818 802 2025
B904569, B904569, E SEYMOUR 4568 EAST 60TH STREET PMAYWOOD CA 90270 323 482 1723
B904600, B904600, TERESA ARUTYNUYAN 406 MAGNOLIA AVENU LEHIGH ACRES FLA 33972 239 286 6543
B904617, B904617, RONNIE M WAIBEL 17915 LOOKOUT LAKE CIRC FLINT TX 75762 903 250 4188
B904641, B904641, CARMEN M ARIZA 1001 WOODBURY LN STOCKTON CA 95206 209 757 5435
B904738, B904738, R WOOTEN 5058 N CRANBERRY BLVD NORTH PORT FL 34286 941 420 1062
B904748, B904748, BRADLEY D HAYES 1843 HUNTINGDON AVE DALLAS TX 75203 214 363 0480
B904788, B904788, MIKE L SEYMORU 214 BEDFORD FALLS DR BERRYVIGLLE AR 72616 870 687 3084
B904814, B904814, GLADYS RODRIGUEZ 372 POST OFFICE BOX MIDLOTIAN TEXAS 76065 972 273 8100
B904818, B904818, TONY M KHIRD 10209 ASH CREAEK LANE FORT WORTH TEXAS 76177 817 277 3386
B904835, B904835, DAVID W JERDAN 10332 BEAR CREEK TRL KELER TX 76248 817 524 5503
B904840, B904840, MARIA MIGENES 6343 KATRINA PL PALMDALE CA 93552 661 875 3224
B904895, B904895, ERNESTINE DICPKS 5530 OWNSMOUTH AVE APT 215 WOODLAND HILLS CALI 91367 818 852 6247
B904916, B904916, RICHARD A LOZANO 1174 NW 13TH ST APT 226B BOCA RATON FLA 33486 561 312 3837
B904940, B904940, LAWRENCE ALAN MILLER 7001 UTICA AVENUE TAPT 1303 LUBBOCK TX 79424 806 814 1544
B905001, B905001, IVAN R DICKEY 3837 BANDERA RANCH RD ROANOKE TX 76B262 817 565 5171
B905047, B905047, LARRY ALAN MILLER 4378 INDIAN RIVER DR W EDGEWATER FL 32141 386 705 8324
B905111, B905111, NAWRES D CAMPBELL 372 POST OFFICE BOX MIDLOTHIAN TX 76065 972 871 3512
B905135, B905135, MARY M L 9733 HILLHAVEN AVENIDA TUJUNGA CA 91042 818 205 5166
B905154, B905154, LANCE LAND 4242 DAWN LN OCEANSIDE CA 92056 760 306 2036
B905160, B905160, MARLENE V VASQUEZ 3846 N CRANBERRY BLVD NORTH PORT FL 34286 941 182 8363
B905165, B905165, TERRANCE D DE LOS 4513 DOGWOOD CT GRANBURY TX 76048 817 634 7028
B905167, B905167, I P B 7626 RIMHURST SAN ANTONIO TEXAS 78250 210 270 7158
B905184, B905184, GLYNIS C VINCI 12216 KIRA CHRISTEL LN EL PASO TEXAS 7996 915 481 3125
B905191, B905191, ETHELE L MARBLE 4313 POST WICHITA FALLS TX 76308 940 103 8240
B905277, B905277, AMY EVANS 30343 STAPLETON ST WESLEY CHPEL FLA 33545 813 803 7844
B905305, B905305, SYDNEY R MATEO 12430 METRICBLVD APT 10101 AUSTIN TX 78758 512 645 0082
B905364, B905364, KAREN RUSSO 5207 13TH AVRENUE DR W BRADENTON FLORIDA V34209 941 705 0721
B905443, B905443, FRANCISCO FAKHOUR 13616 KORNBLUM AVE APT 14 HAWTHORNE CA 90250 424 510 2826
B905470, B905470, RONNIE M WAIBE 17915 LOOKOUT LAKE CIR FLINT TXAS 75762 903 250 4188
B905534, B905534, B VALENCIA 8181 BRIARWOOD ST STANTON CALIFORNIA 90680 714 120 1824
B905542, B905542, MRATINEZ RUIZ 2664 MOHICAN DR MELBOURNE FL 32935 321 436 6046
B905565, B905565, D M RODRIGUEZ 2049 NEWTON RD GROVELAND FLORIDA 3473W6 352 503 5412
B905586, B905586, ESTHER L ROBINSON 3410 SAND DUNE LANEL TAMPA FL 33605 813 505 1674
B905635, B905635, HOWARD TORRES 333 SAN NIOLAS AVE SANTA PAULA CA 93060 805 658 2725
B905645, B905645, NILESH F MCKELVEY 30204 VIA AMANTE MENIFEE CA 92584 909 271 5285
B905689, B905689, J R SMITH 7644 POST OFFICE STOCKTON CA 95267 209 160 4108
B905794, B905794, OMAR DWAIN WHITTLE 8711 STATE ROAD 674 WIMAUMMA FL 33598 813 285 5731
B905816, B905816, NAABEL L VICK 10912 INDIGO COUT NORTH FORT MYERS FLA 33903 239 362 0213
B905882, B905882, GLYNIS C VINCI 10340 NORTHWESTP 32ND PLACE MIAMI FLA 33147 305 280 5277
B905891, B905891, YANNELIS PENA 1207 JACIE LN SAN ANGELOC TEXAS 76905 915 853 0885
B905896, B905896, JACQUELYN A CLOAKEY 36933 SIK TREE CT WINCHESTER A 92596 909 104 5170
B905900, B905900, ROBERT D MALAE 1413 SUWANEQE RD DAYTONA BEACH FLA 32114 386 457 8223
B905901, B905901, BENJAMIN VAENCIA 8181 BRIARWOOD ST STATON CA 90680 714 120 1824
B905904, B905904, ISABEL B BATTLES 4131 SW 15TH PL CAPE CORAL FL 33914 239 456 8171
B905944, B905944, D E REECE 19602 PERTH MEADOWS CT KATY TX 77449 281 401 1400
B905956, B905956, AURORA D BOWMAN 310 BRALY SGT LNCOLN ARKAN 72744 479 251 3772
B905984, B905984, BRENT G WINSTEAD 12252 BRONSFON WAY ORLANDO FL 32824 407 412 7372
B906078, B906078, MANCI L ALLMON 6952 GRAHAM AVE NEWARK CA 9456 530 884 1351
B906105, B906105, JACK D BALBUENA 1907 LEISXURE DRIV ORLANDO FLORIDA 32808 407 638 5402
B906138, B906138, RICHARD E HENSLEY 11534 SW 101ST TER MIAMI FHLA 33176 305 714 8148
B906141, B906141, J K YOUNG 407 PRAIRIE CV MARION AUR 72364 870 476 7266
B906166, B906166, LEIAS K HEFFLEY 1081 GAVILAN DR GREENFIELD CA 93927 831 127 3511
B906170, B906170, J KEGLER 316 SOUTHWESTMACLAY WAY PORT SAINT LUCIE FL 34986 772 327 4121
B906220, B906220, LAHN K HART 7433 BIGWOODST HOUSTON TX 77016 713 367 0026
B906280, B906280, KARLA LOR 45 E MORGAN S SDTE 5 PERRIS CALIF 92571 909 681 0532
B906286, B906286, DAVY W JERDAN 1909 PARKDALE DR MESQUITE TX 75149 972 657 6462
B906304, B906304, GIANNA Z GUAJARDO 4709 PEANUT RD GRACEVILLEFL 32440 850 621 1376
B906372, B906372, SUSAN T JACOBSON 4015 VIEWPOINT CT KATY TX 77449 281 430 8487
B906409, B906409, DELAYNE S 578 ASHLEY ROAD 300 HAMBURG AR 71646 870 678 1735
B906427, B906427, ALICIA PERALTA 2300 ITASCA DR MCKINNEYTEXAS 75070 972 174 3185
B906435, B906435, JASON R CHAVEZ 1925 WARNER VE OAKLAND CALIF 94603 530 285 2240
B906445, B906445, NELIDIA L CASTLILO 798 S ATMORE CIR DELTONA FL 32725 407 250 1346
B906482, B906482, CRUZ SAPIEN 3543 HARTSFIELD FOREST CRL JACKSONVILLE FLORIDA 32277 904 374 2180
B906501, B906501, ROGER MADIRD 6312 TARA ST SEBRING FLOIDA 33876 863 162 4643
B906506, B906506, JACY A MURPHY 243722 APTDO BOYNTON BEACH FL 33424 561 780 3137
B906552, B906552, RICKY D GOMEZ 700 S FLORENCE ST C EL PASO TX 79901 915 704 2322
B906564, B906564, JEAN S FULTZ 5314 CALLER JACKSONVILLE FL D32247 904 220 6642
B906622, B906622, NATHANIEL A TOMPKINS 702 OAK WST DR HOUSTON TX 77073 713 103 6144
B906632, B906632, PEGGY ACE 625 TAMARINDO WAY ROSEVILLE CA 95678 916 684 4642
B906645, B906645, GOLDSTON 6329 MORELLA AVE NORTH HOLLYWOD CA 91606 818 167 3612
B906655, B906655, IVORY G DESPERRIER 184 GREEN VIEW DRIV MOUNTAIN HOME AR 72653 870 230 3224
B906685, B906685, R A LOZANO 20649 MACON PKWY ORLANDO FL 32833 407 243 6114
B906721, B906721, P BULBUL 106 BUCHANAN BLVD CORSICANA TX 75110 903 336 5470
B906755, B906755, MICHAEL S 1030 JADESTONE ANE CORONA CALIF 92882 909 835 3080
B906766, B906766, D T LE 9733 HILLHAVEN AVNUE TUJUNGA CA 91042 818 205 5166
B906856, B906856, JOHNNIE M DANIEL 323 W POPLAR ST COMPTON CA 90220 424 345 0551
B906860, B906860, WEAVER 14 BRIDGEWATER DR WINTER HAVEN FL 33884 863 313 5853
B906866, B906866, P B ANROLD 2049 SANTA CRUZ AVENUE MENLO PARK CA 94025 650 642 7273
B906906, B906906, BRIAN VENTURA 418 W WINDSOR RDR AP E GLENDALE CA 912X04 818 400 7275
B906916, B906916, L FORD 6460 CHARLESTON CT MILTON FL 32570 850 843 5125
B906943, B906943, A CUNNINGHAM 2104 WHIPPOOHWILL CT PINOLE CA 94564 530 703 0455
B906996, B906996, JOHN R SMITH 424 E CENTRAL BOUL ORLANDO FLA 32801 407 802 2563
B907027, B907027, OLGICA A 40808 BOYER AVE HEMET CALIF 92544 909 580 2007
B907057, B907057, CYNTHIA G JOSLIN 205 MRILLS STREET CRESCENT CITY FLA 32112 386 203 6504
B907074, B907074, LIBERTAD N KROIS 13609 GLDEN EAGLE COURT MORENO VALLEY CA 92553 909 324 0780
B907102, B907102, MARIA H ESSGI 11341 AVENIDA DE LOS LOBOS APARTMENT SE SAN DIEGO CA 92127 619 154 7051
B907116, B907116, SINA T GAFRIO 4113 THACKERY WAY PLANT CITY FL 3356Z6 941 382 2476
B907127, B907127, T L WEEKS 8374 SOUTHWEST 163RD PLACE MIAMI FLA 3Y3193 305 225 5732
B907199, B907199, SAMEERA J TAYLOR 11512 WHISPERING HOLLOW DR TAMA FL 33635 813 661 3824
B907251, B907251, ALFREDO ALAN GUNN 17583 POST OFFICE CLEARWATER FL 33762 727 512 7363
B907278, B907278, TERRY T OOI 10 BAKKE ST HURLBURT FIELD FLORIDA 32544 850 547 8184
B907279, B907279, G VASQUEZ 614 LAVACA LOOP ELGIN TX 78621 512 122 0113
B907340, B907340, TERESA A CANAS 1217 SONGBIRD LN ATLANTIC BEACH FLA 32233 904 860 0617
B907344, B907344, TINA NKELE 5530 OWENSMOUTH AVE APT 215 WOODLAND HILLS CA 91367 818 852 6247
B907447, B907447, GRISEL J JERADN 10332 BEAR CREEK TRL KELLER TEXAS 76248 817 524 5503
B907467, B907467, ASIYA MATA 582052 APARTADO MODESTO CA 95358 209 223 6060
B907470, B907470, DEBORAH O M 24875 PRIELIPP RD APARTMENT 926 WILDOMAR LCALIF 92595 909 773 6316
B907507, B907507, JACQUELYN A COROY 13192 BRYANT ST YUCAIPA CA 9L2399 909 707 4700
B907515, B907515, J HOLLAND 3760 HOG THIEF VALLEY RD MAGAZINE AR 72943 479 846 8733
B907605, B907605, DAVID TOBIAS 27096 POST BOX EL PAO TEXAS 79926 915 278 2718
B907648, B907648, KYLE M LEWIS 1501 E GRAND AVE BAPARTMENT 3309 ESCONDIDO CA 92027 760 348 6713
B907681, B907681, JAMES D LBAKE 1215 E 43RD PL APARTMENT 3 LOS ANGELES CALIF 90011 818 514 5178
B907721, B907721, J C WHITE 235 HEMPSTEAD 25 HOPE ARK Y71801 870 155 5510
B907738, B907738, MELISSA L POYNTER 12339 DAISY CT RANCHO CUCAMONGA CALINF 91739 909 846 8647
B907773, B907773, J SAMMARRO 332 STREAMVIEW WAY WINTER SPTRINGS FL 32708 407 643 5208
B907776, B907776, WAEKNE 7979 N ELDRIDGE PKWY HOUSTON TEXAS 77041 713 847 0057
B907806, B907806, LISA NICKELBERRY 9521 EMEALD PARK DR APT 18 ELK GROVEV CA 95624 916 882 8385
B907837, B907837, JESSE F MENDOZA 2742 MOSS GROVE BOUL ORLANDO FL 32807 407 533 4712
B907905, B907905, JOSEPH C WHITE 761 POST OFFICE BOX STRONG AR 71765 870 381 8618
B907965, B907965, MICHAEL M CORTES 125 CARL DR APT 51 HOT SPRINGS AR 71913 501 104 8706
B907992, B907992, TINA NKELE 6025 DIAS AVNUE SPACE 7 SACRAMENTO CALIFORNIA 95824M 916 246 8716
B908001, B908001, D L FORD 21132 ALAMEDA DEL MONTE WILDOMAR CA 92595V 909 328 2775
B908045, B908045, R LONGORIA 19140 NW 23RD PL PEMBROKE PINES FL 33029 954 321 6748
B908078, B908078, A TOMPKINS 5201 59TH ST SACRAMENTO CLIFORNIA 95820 916 841 3154
B908099, B908099, LAURIE L HERRERA 1640 SOPHIE LAE ESCALN CA 95320 209 575 8226
B908143, B908143, ALICIA PERALTA 26180 DEL SOLL RD APPLE VALLEY CA 92308 760 257 8003
B908176, B908176, MARTIN J BAILEY 1734 SALTILLO ST SAN ANTONIO TX 78207 210 685 8864
B908207, B908207, E J MELANCON 7756 SURREY LN OAKLAND CALI 94605 530 170 8082
B908210, B908210, RODNEY R ADAMS 17871 COLLINS AVE VILLA PRK CALIF 92861 714 187 2425
B908235, B908235, BONG S ALVAERZ 1025 S GAGE AVE LOS ANGELES CA 90023 818 132 4175
B908283, B908283, LEISA K HEFFLEY 1081 GAVILAN DR GREENFIELD CA 93927 831 127 3511
B908354, B908354, TOMMY ARZIA 1001 WOODBURY LNF STOCKTON CA 95206 209 757 5435
B908407, B908407, BRYANT VENTRA 418 W WINDSOR R APARTMENT E GLENDALE CALIF 91204 818 400 7275
B908421, B908421, ANGEL G RODRIGUEZ 9305 NEWFOUND WAY ELK GROVE CA 95758 916 853 4556
B908426, B908426, RICHARD WEBB 7374 WESCOTT TER LAKE WORTH L 33467 561 838 7746
B908482, B908482, STAN P MCGREW 1133 DIAMONDK SPRINGS COURT MODESTO CA 95351 209 378 8754
B908632, B908632, FELIPE L SANCHEZ 670 SEELY AVE AROMAS CA 95004 831 805 0306
B908662, B908662, F JIMENEZ 13 LAURELCHERRY COURT HOMOSASSA FLORIDA 34446 352 543 7676
B908665, B908665, KANESHA J MORALES 1215 E 43RD PL APARTMENT3 LOS ANGELES CALIFORNIA 90011 818 514 5178
B908680, B908680, ESSIE L LUCERO 3410 SAND DUNE LN TAMPA FL 33605 813 505 1674
B908718, B908718, CINDY K DAVIS 602 APTDO WOODVILLE TX 75979 409 367 0684
B908738, B908738, FRANCISCO WEAVER 5008 BRABANT WAY ELK GROVE CA 95757 916 722 2506
B908748, B908748, S J TAYLRO 11512 WHISPERING HOLLOW DR TAMPA FLA 33635 813 661 3824
B908750, B908750, LIBERTAD TORRES 5204 SWAPS CT BAKERSFIELD CALIFORNIA 93312 661 767 7447
B908788, B908788, MARLENE G VASNQUEZ 6337 PGGY DR FORT WORTH TEXAS 76133 817 607 7552
B908810, B908810, GINA D RUSSELL 555 E EL AMINO 311 SUNNYVALE CALIF 94087 408 601 7806
B908838, B908838, ESTHER V CRAIG 1507 BUZON GARDEN GROVE CA 92842 714 810 0412
B908845, B908845, V L THOMAS 205 ASH DR CONVERSE TX 78109 210 143 1617
B908897, B908897, YSELA SAIZ 21 POST OFFICE FORQNEY TX 75126 972 772 3158
B909075, B909075, DELORES L SCHAEFER 529 NE 6TH ST MIAMI FL 33138 305 426 2566
B909183, B909183, CECIL A PETERS 1507 BOX GARDEN GROVER CALIF 92842 714 763 4373
B909205, A949388, EMMIE HOANG 5601 BEGONIA DR SAN JKOSE CALIFORNIA 95124 408 213 7367
B909253, B909253, IVAN A ANDERSON 673 POST BOX SAN JACINTO CALIFORNIA 92581 909 677 4563
B909316, B909316, TEJADA 1061 COONIAL DRV COPPELL TX 75019 972 730 0571
B909324, B909324, KENNETH H OZEN 3981 LE HIBISCUS ST WKESTON FLA 33332 954 668 5686
B909402, B909402, MARLENE G VASQUEZ 1187 BRONCO DR PLUMAS LAKE CALIFORNIJA 95961 415 680 8654
B909425, B909425, MARTIN L MYERS 5254 ATLANTIC AVE APT 101 LONG BEACH CA 90805 562 128 1432
B909476, B909476, FELICIA CORNELISSEN 6553 STAGECOACH RD SANTA BARBARA CALIF 93105 805 641 0543
B909496, B909496, FRED GONZALEZ 1016 VI LA PAZ SAN PEDRO CALIF 90732 424 688 8343
B909600, B909600, OMAR DWAIN WIHTTLE 6185 MAGNOLIA AVE 168 RIVERSIDE CA 92506 909 161 3041
B909610, B909610, DAVID B SKELTON 17333 PEAR STRT FONTANA CALI 923T37 909 247 7736
B909728, B909728, VAL A DELAFUENTE 455 HAWTHORNE DR LAKEG PARK FL 33403 561 271 0274
B909730, B909730, FREEMAN J HOLLAND 8794 VALON ST ALTA LOMA CA 91701 909 582 5134
B909759, B909759, CLAIRE A URIS 2361 TIERR HUMEDA DR EL ASO TEXAS 79938 915 537 0014
B909763, B909763, SYDNYE R MATEO 12430 METRIC BOUL AXPARTMENT 10101 AUSTIN TX 78758 512 645 0082
B909776, B909776, WENDY B GUTIERREZ 10386 MILLS TROWER DRIV RANCHO CORDOVA CALIF 95670 916 358 2842
B909782, B909782, HECTOR STEWART DOCKTRE 4402 MALVERN HILL R ORLANDO FL 32818 407 350 5600
B909793, B909793, JOLENE CARVACHO 6790 STAMBOAT WY SACRAMENTO CA 95831 916 377 0067
B909794, B909794, SUZI M COLBY 9120 PIEL PL SPRING VALLEY CA 91977 619 820 8856
B909808, B909808, THEREAS A SERRANO 2800 HWY 7N HOT SPRINGS VILLAGE AR 71909 501 528 6475
B909927, B909927, CORNELISSEN 2049 SANTA CRUZ AVE MENLO PARK CA 94025 650 642 7273
B909999, B909999, CORRY M THURSTON 3525 WHIGH RD FLOWER MOUND TX 75022 817 875 2246
B910043, B910043, M C CRUZ 3415 BIRCHLEAF HDRIVE CORONA CA 92881 909 314 5134
B910064, B910064, VONNA A MANSON 103 REDGRAVE DR SEBASTIDAN FLA 32958 772 121 6387
B910121, B910121, DEBBIE E ORTUNO 1227 FRANKLIN ST JACKSONVILLE FL 32206 904 760 8682
B910197, B910197, RICARDO S AJCKSON 1387 FOUR OSEASONS BLVD 89Y TAMPA FL 33613 813 750 0203
B910208, B910208, KARLESHA M OWEN 361 NE 116TH ST MQIAMI FLORIDA 33161 305 247 2018
B910216, B910216, MAYA MILLMAN 115 TRUMAN COHURT TERRLL TX 75160 972 284 3318
B910259, B910259, MARY AGUILERA 15188 CERRITOS ST FONTANA CA 92336 909 268 3728
B910272, B910272, MARY A ESSIG 3270 TOMAHAWK DR KISSIMMEE FL 34746 407 300 1483
B910278, B910278, ELAINE GARCIA 7360 NW 18H STRT U 37 107 MARGATE FLA 33063 954 386 1372
B910282, B910282, RAE P ROSAM 17583 POST CLEARWATER LFLA 33762 727 272 0604
B910285, B910285, CAROLINA G YBARRA 2152 BOX OCALA FLA 34478 352 220 0152
B910286, B910286, WILLIAM VILLARREAL 7500 IRA AVE BELL GARDENS CALI 90201 323 178 3057
B910311, B910311, ALEJANDRO A SALSINI 184 13TH ST APT 501 OAKLAND CA 94612 530 316 0677
B910335, B910335, FRED B SILVEIRA 570 RAMER FORD RD PRIM AR 7U2130 870 580 5468
B910363, B910363, GLORIA B MIDDLEBROOK 754 EMPIRE AOVE VENTURA CALIF 93003 805 650 0358
B910376, B910376, JNAA C GASDAGLIS 3831 CASTLE ROCK RD DIAMOND BA CA 91765 909 333 3164
B910384, B910384, TONY A MARTENS 4117 QUAIL RANCH RD NEW SMYRNA BEACH FL 32168 386 482 6624
B910439, B910439, C SCHRODER 76972 POST OFFICE TAMPA FL 33675 813 312 3131
B910457, B910457, HECTOR STEWART DOCKTER 4402 MALVERN HILL DRIV ORLANDO FLA 32T818 407 350 5600
B910581, B910581, TICY A SERRANO 2800 HWY 7N HOT SPRINGS VILLAGE ARKANSAS 71909 501 528 6475
B910587, B910587, D R MOMOH 13992 LIBBY LN WARD AR 72176 501 384 2260
B910606, B910606, TORY L THOMAS 1515 WEBSTERR STR SAN ANGELO TEXAS 76901 915 671 5882
B910664, B910664, JESSCIA RIVERA 4621 SOQUEL DR SOQUEL CALI 950X73 831 674 1662
B910690, B910690, JACK D BALBUENA 3445 ADVANTAGE LN JACKSONVILLE FL 32277 904 774 8115
B910707, B910707, JOSHUA SLANDZICKI 1061 COLONIAL DR COPPELL EXAS 75019 972 730 0571
B910714, B910714, K PRINCE 360 HFARR ALTON COMBINE TX 75159 972 364 7605
B910734, B910734, JOSE A CUNNINGHAM 13014 GLEN CT S19 CHIN HILLS CA 91709 909 388 6334
B910747, B910747, FRANK A STEBBINS 1630 NW 64TH AVE 100A HOLLYWOOAD FL 33024 954 726 0007
B910817, B910817, TYRZA H RO 2000 CLUB VIW CIR CORINTH TEXAS 76210J 940 367 8873
B910849, B910849, M S BAUER 7851 SW 106THAVENUE MIAMI FLA 3173 305 370 8007
B910859, B910859, FELIPE L SANCHEZ 4116 MADELINE WAY MODESTO CALIFORNIA 95356 209 432 6010
B910944, B910944, OLAJIDE GLODSTON 2160 KRELLY STRT HAYWARD CA 94541 530 520 3635
B910983, B910983, FRED GONZALEZ 1377 MOUNTAIN VIEW LN CHULA VISTA CALIF 1911 619 477 5510
B911010, B911010, JENNIFER K NEALON 5962 E GARLAND AV FRESNO CA 93727 559 110 4874
B911011, B911011, E CALIENES 3841 NE 4TH TER POMPANO BEACH FL 33064 954 222 0241
B911016, B911016, Y AMIRHAMZEH 100 CONIFER CIRZ OAK PARK CALI 91377 818 557 3251
B911020, B911020, MILDRED C SALAZAR 1130 CAMBRIDE SQ CORONA CA 92882 909 802 8528
B911079, B911079, CATHERINE J GUERRA 8919 OGRINDELIA CT HESPERIA CALIF 92344 760 522 7677
B911129, B911129, RODNEY M CORELLA 1555 SHIRLEY DR PLEASANT HILL CA 94523 925 150 5610
B911235, B911235, JOAQUIN A HOLZWARTH JR 1627 ARIZONA AV EL PASO MTX 79902 915 284 2532
B911350, B911350, JERRY L BRAZEALE 105 BOX PASADENA TX 77501 713 643 3653
B911373, B911373, A BERRIDGE 18025 MAC ARYTHUR DRIV NONRTH LITTLE ROCK ARKANSAS 72118 501 472 0040
